C;1;1;0.795361
O;2;2;-0.558633
C;3;3;-0.534353
H;4;4;0.145621
H;5;4;0.145531
H;6;4;0.151497
N;7;7;-0.800507
H;8;8;0.343807
C;9;9;0.375076
H;10;10;0.027687
C;11;11;-0.076093
C;12;12;0.619772
H;13;13;0.074198
H;14;13;0.066696
C;15;15;-0.275864
O;16;16;-0.511836
C;17;17;-0.102076
C;18;18;0.234767
H;19;19;0.183631
N;20;20;-0.466097
C;21;21;0.275428
C;22;22;-0.302515
H;23;23;0.369606
C;24;24;-0.326115
C;25;25;-0.177635
H;26;26;0.175005
H;27;27;0.167876
C;28;28;-0.10873
H;29;29;0.137729
H;30;30;0.131839
O;31;31;-0.607094
H;32;32;0.426425
