C;1;1;0.4203
O;2;2;-0.45241
C;3;3;-0.49006
H;4;4;0.16398
H;5;4;0.16573
H;6;4;0.18737
N;7;7;-0.38213
H;8;8;0.26668
C;9;9;-0.05619
H;10;10;0.17272
C;11;11;-0.27006
C;12;12;0.40483
H;13;13;0.13969
H;14;13;0.16869
C;15;15;-0.27086
O;16;16;-0.47292
H;17;17;0.15678
H;18;17;0.14671
C;19;19;-0.16641
H;20;20;0.15502
H;21;20;0.16245
N;22;22;-0.29288
H;23;23;0.3051
C;24;24;0.41035
N;25;25;-0.4622
N;26;25;-0.4708
H;27;27;0.32092
H;28;27;0.32019
H;29;27;0.31944
H;30;27;0.3192
N;31;31;-0.35677
H;32;32;0.26847
C;33;33;-0.32855
H;34;34;0.15708
H;35;34;0.15774
H;36;34;0.18279
