H;1;1;0.13268148
H;2;1;0.13268148
N;3;3;-0.55781173
H;4;4;0.29741577
C;5;5;0.00781759
H;6;6;0.10804799
C;7;7;-0.28759559
C;8;8;0.67451937
H;9;9;0.10356623
H;10;9;0.10356623
C;11;11;0.202769
O;12;12;-0.52044555
C;13;13;-0.23914683
C;14;13;-0.23914683
H;15;15;0.15970062
C;16;16;-0.23321277
C;17;16;-0.23321277
H;18;15;0.15970062
H;19;19;0.16556694
C;20;20;0.28819597
H;21;19;0.16556694
O;22;22;-0.46562089
H;23;23;0.3397597
N;24;24;-0.5868852
H;25;25;0.31186035
C;26;26;0.00964089
H;27;27;0.06249341
H;28;27;0.06249341
H;29;27;0.06249341
