C;1;1;0.41955
O;2;2;-0.46799
C;3;3;-0.49084
H;4;4;0.16044
H;5;4;0.16416
H;6;4;0.17765
N;7;7;-0.36754
H;8;8;0.26952
C;9;9;-0.06096
H;10;10;0.16163
C;11;11;-0.10092
C;12;12;0.41209
H;13;13;0.12502
C;14;14;-0.44169
C;15;15;-0.26692
O;16;16;-0.47823
H;17;17;0.15157
H;18;17;0.14535
H;19;17;0.15793
H;20;20;0.14268
H;21;20;0.12803
C;22;22;-0.43615
H;23;23;0.14517
H;24;23;0.15147
H;25;23;0.1409
N;26;26;-0.36117
H;27;27;0.26874
C;28;28;-0.32781
H;29;29;0.15021
H;30;29;0.14905
H;31;29;0.17906
